Company,Subsidiary ,Website,Icon,Data?,Gender,Ethnicity,LGBTQ+,Disabled,Targets,Leadership/Engineering,Age,Retention,Equal Pay,Promotion Rates,Complaints,EEO-1?,Open Data,Updated,Notes
Activision Blizzard,,http://www.activisionblizzard.com,activision_blizzard.png,,,,,,,,,,,,,,,,
,Blizzard Entertainment,https://www.blizzard.com,blizzard.png,,,,,,,,,,,,,,,,
,King Digital Entertainment,https://king.com/,king.png,,,,,,,,,,,,,,,,
Amazon,,https://www.amazon.com,amazon.svg,https://www.amazon.jobs/en/landing_pages/diversity,Yes,Yes,,,,Yes,,,,,,Yes,,July 2016,Parent company of a games subsidiary
,Amazon Game Studios,https://games.amazon.com,amazon_game_studios.png,,,,,,,,,,,,,,,,
Arkane Studios,,http://www.arkane-studios.com,arkane.svg,,,,,,,,,,,,,,,,
Atlus,,https://www.atlus.com,atlus.png,,,,,,,,,,,,,,,,
Bandai Namco Studios,,https://www.bandainamcostudios.com/,bandai_namco.jpg,,,,,,,,,,,,,,,,
Big Huge Games,,http://www.bighugegames.com/,big_huge_games.png,,,,,,,,,,,,,,,,
Bungie,,https://www.bungie.net/,bungie.png,,,,,,,,,,,,,,,,
Capcom,,http://www.capcom.com/,capcom.svg,http://www.capcom.co.jp/ir/english/csr/csr07.html#employee,Some,,,,Some,Some,,,,,,,,,
CD Projekt RED,,http://en.cdprojektred.com/,cd_projekt_red.png,,,,,,,,,,,,,,,,
Cloud Imperium Games,,https://cloudimperiumgames.com/,cloud_imperium_games.jpg,,,,,,,,,,,,,,,,
Codemasters,,http://www.codemasters.com/,codemasters.png,,,,,,,,,,,,,,,,
Croteam,,http://www.croteam.com/,croteam.png,,,,,,,,,,,,,,,,
Crytek,,http://www.crytek.com/,crytek.png,,,,,,,,,,,,,,,,
Die Gute Fabrik,,https://gutefabrik.com/,die_gute_fabrik.png,,,,,,,,,,,,,,,,
Double Fine Productions,,http://www.doublefine.com/,double_fine.png,,,,,,,,,,,,,,,,
Electronic Arts,,https://www.ea.com/,electronic_arts.svg,,,,,,,,,,,,,,,,
Ember Entertainment,,http://ember.games/,,,,,,,,,,,,,,,,,
Epic Games,,https://www.epicgames.com/,epic_games.svg,,,,,,,,,,,,,,,,
Facepunch Studios,,http://www.facepunchstudios.com/,facepunch_studios.png,,,,,,,,,,,,,,,,
Frictional Games,,https://www.frictionalgames.com,frictional_games.png,,,,,,,,,,,,,,,,
FromSoftware,,http://www.fromsoftware.jp/pc_en/,fromsoftware.png,,,,,,,,,,,,,,,,
Frontier Developments,,https://www.frontier.co.uk/,frontier_developments.svg,,,,,,,,,,,,,,,,
