Company,Subsidiary ,Website,Data?,EEO-1?,Updated,Icon,Notes
2K Games,,https://www.2k.com,,,,,
Activision Blizzard,,http://www.activisionblizzard.com,,,,,
,Blizzard,https://www.blizzard.com,,,,,
Amazon,,https://www.amazon.com,https://www.amazon.jobs/en/landing_pages/diversity,Yes,July 2016,,Parent company of a games subsidiary
,Amazon Game Studios,https://games.amazon.com,,,,,
Arkane Studios,,,,,,,
ArenaNet,,,,,,,
Armor Project,,,,,,,
Atlus,,,,,,,
Bandai Namco Studios,,,,,,,
Big Huge Games,,,,,,,
Bird Studio,,,,,,,
Bungie,,,,,,,
Capcom,,,,,,,
CD Project RED,,,,,,,
Cloud Imperium Games,,,,,,,
Codemasters,,,,,,,
Croteam,,,,,,,
Crytek,,,,,,,
Die Gute Fabrik,,,,,,,
Double Fine Productions,,,,,,,
Electronic Arts,,,,,,,
Ember Entertainment,,,,,,,
Epic Games,,,,,,,
Facepunch Studios,,,,,,,
Frictional Games,,,,,,,
FromSoftware,,,,,,,
Frontier Developments,,,,,,,
Frozenbyte,,,,,,,
Funcom,,,,,,,
Gameloft,,,,,,,
Gearbox Software,,,,,,,
Glu Mobile,,,,,,,
Gravity,,,,,,,
Griptonite Games,,,,,,,
Halfbrick,,,,,,,
Human Head Studios,,,,,,,
Insomniac Games,,,,,,,
Introversion Software,,,,,,,
Kalypso Media,,,,,,,
King Digital Entertainment,,,,,,,
Koei Tecmo,,,,,,,
Konami,,,,,,,
LEGO Group,,,,,,,
Level-5,,,,,,,
Linden Lab,,,,,,,
Microsoft Studios,,,,,,,
Mojang AB,,,,,,,
NCsoft,,,,,,,
Ninja Theory,,,,,,,
Nintendo,,,https://www.nintendo.co.jp/csr/en/report2016/employees/index.html,No,2016,,
Obsidian Entertainment,,,,,,,
Paradox Development Studios,,,,,,,
PlatinumGames,,,,,,,
Quantic Dream,,,,,,,
Rebellion Developments,,,,,,,
Remedy Entertainment,,,,,,,
Respawn Entertainment,,,,,,,
Robot Entertainment,,,,,,,
Rovio Entertainment,,,,,,,
Sega,,,,,,,
Sony Interactive Entertainment,,,,,,,
Square Enix,,,,,,,
Starbreeze Studios,,,,,,,
Stardock,,,,,,,
Take-Two Interactive,,,,,,,
TaleWorlds,,,,,,,
Team17,,,,,,,
Telltale Games,,,,,,,
Tencent,,,,,,,
Treasure,,,,,,,
Triump Studios,,,,,,,
Turtle Rock Studios,,,,,,,
Ubisoft,,,,,,,
Valve Corporation,,,,,,valve.png,
Vlambeer,,,,,,,
Wargaming,,,,,,,
WB Games,,,,,,,
ZeniMax Media Inc,,,,,,,
Zynga,,,,,,,
